City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Windspeed
janakkala,59,FI,1595868705,94,60.9,24.6,68.0,4.5
kilgore,40,US,1595868532,62,32.39,-94.88,86.0,4.7
boddam,100,GB,1595868705,93,57.47,-1.78,57.2,5.82
balkhash,29,KZ,1595868765,41,46.84,74.98,77.02,10.54
nabire,100,ID,1595868546,91,-3.37,135.48,75.4,4.34
along,100,IN,1595868765,89,28.17,94.77,74.71,0.36
puerto del rosario,20,ES,1595868765,74,28.5,-13.86,78.8,18.34
katima mulilo,0,NA,1595868766,29,-17.5,24.27,71.6,6.93
sol-iletsk,1,RU,1595868766,64,51.16,54.99,66.16,8.01
cayenne,46,GF,1595868766,59,4.93,-52.33,89.6,3.36
lucapa,0,AO,1595868766,24,-8.42,20.74,75.83,3.85
tavda,90,RU,1595868766,76,58.04,65.27,58.68,4.99
pades,60,RO,1595868766,70,45.02,22.85,73.42,5.19
vrangel,85,RU,1595868766,85,42.73,133.08,65.48,7.34
oranjemund,0,NA,1595868766,40,-28.55,16.43,66.42,9.86
gravdal,75,NO,1595868767,82,68.12,13.5,60.8,6.93
visakhapatnam,40,IN,1595868767,83,17.69,83.21,84.2,5.82
kharp,69,RU,1595868767,74,66.8,65.81,51.13,6.6
zyryanka,74,RU,1595868767,80,65.75,150.85,61.3,2.39
vikhorevka,93,RU,1595868767,93,56.12,101.16,60.8,4.47
camocim,0,BR,1595868767,44,-2.9,-40.84,89.26,11.79
wasilla,1,US,1595868681,76,61.58,-149.44,55.99,4.7
sokna,95,NO,1595868767,91,60.24,9.92,62.01,8.99
korla,78,CN,1595868767,89,41.76,86.15,78.01,1.99
zabid,74,YE,1595868768,62,14.2,43.32,87.96,6.51
foxton,0,NZ,1595868768,94,-40.47,175.3,35.01,4.65
biltine,51,TD,1595868768,41,14.53,20.92,91.63,12.28
praia da vitoria,40,PT,1595868768,61,38.73,-27.07,82.4,3.71
carmarthen,84,GB,1595868768,80,51.86,-4.31,64.0,5.99
praia,20,CV,1595868768,51,14.92,-23.51,86.0,20.8
san andres,40,CO,1595868768,74,12.58,-81.7,86.0,16.11
aqtobe,5,KZ,1595868768,43,50.28,57.21,69.8,8.95
playas,54,EC,1595868768,75,-2.63,-80.38,73.62,11.52
sydney,100,AU,1595868688,99,-33.87,151.21,59.0,5.99
cocorit,5,MX,1595868769,52,27.58,-109.97,89.6,5.82
kahului,40,US,1595868486,78,20.89,-156.47,78.8,12.75
eureka,7,US,1595868737,100,40.8,-124.16,55.99,1.01
kuruman,0,ZA,1595868769,35,-27.45,23.43,54.0,6.89
wanning,71,CN,1595868769,87,18.8,110.4,82.26,10.04
saint-joseph,97,RE,1595868769,73,-21.37,55.62,71.6,4.7
pacific grove,53,US,1595868769,93,36.62,-121.92,57.99,1.99
vao,57,NC,1595868769,77,-22.67,167.48,71.92,19.24
san policarpo,100,PH,1595868769,85,12.18,125.51,79.59,5.39
sungaipenuh,80,ID,1595868769,90,-2.08,101.38,62.24,2.91
soyo,53,AO,1595868769,79,-6.13,12.37,73.53,9.44
krumovgrad,94,BG,1595868770,52,41.47,25.65,84.99,1.99
mosetse,0,BW,1595868770,42,-20.75,26.65,56.46,13.33
bichena,100,ET,1595868770,99,10.45,38.2,54.84,3.13
yazd,40,IR,1595868618,12,31.9,54.37,98.6,6.93
ust-uda,89,RU,1595868770,92,54.17,103.03,58.57,5.03
hervey bay,100,AU,1595868047,80,-25.3,152.85,61.0,3
birjand,0,IR,1595868770,13,32.87,59.22,86.0,11.41
kathu,40,TH,1595868770,94,7.92,98.33,82.99,3.36
seka,100,TH,1595868770,82,17.93,103.96,80.37,3.04
sisimiut,100,GL,1595868770,94,66.94,-53.67,44.82,7.34
lodja,0,CD,1595868770,28,-3.48,23.43,81.82,0.4
milkovo,2,RU,1595868770,87,54.72,158.62,52.7,0.6
sfantu gheorghe,89,RO,1595868771,86,45.87,25.78,63.0,2.82
nador,20,MA,1595868568,70,35.17,-2.93,84.2,11.41
jieshi,95,CN,1595868771,84,22.81,115.83,83.79,8.63
qixia,9,CN,1595868771,92,37.3,120.83,72.0,3.74
iracemapolis,0,BR,1595868771,28,-22.58,-47.52,86.0,5.99
launceston,40,AU,1595868691,93,-41.45,147.17,45.0,14.99
baiyin,100,CN,1595868831,40,36.56,104.21,77.0,4.47
nizhniy odes,58,RU,1595868831,57,63.64,54.86,64.6,4.21
erzurum,0,TR,1595868831,21,40,41.5,78.8,6.93
high rock,40,BS,1595868831,70,26.62,-78.28,89.6,10.29
nadadores,99,MX,1595868831,80,27.05,-101.6,73.47,10.6
mareeba,53,AU,1595868750,75,-17,145.43,57.99,2.55
innisfail,22,AU,1595868831,65,-17.53,146.03,61.79,5.5
constantine,20,DZ,1595868783,18,36.37,6.61,100.4,19.46
north bend,90,US,1595868831,93,43.41,-124.22,66.99,3.36
lanciano,0,IT,1595868832,33,42.22,14.39,87.8,8.05
tuatapere,99,NZ,1595868604,83,-46.13,167.68,39.0,3
cody,1,US,1595868832,41,44.53,-109.06,82.99,4.7
atar,5,MR,1595868832,21,20.52,-13.05,106.14,4.59
olafsvik,6,IS,1595868832,76,64.89,-23.71,49.23,16.2
anadyr,0,RU,1595868832,67,64.75,177.48,60.8,4.47
biak,89,ID,1595868817,81,-0.91,122.88,75.85,8.39
zlitan,0,LY,1595868832,61,32.47,14.57,81.7,11.97
never,23,RU,1595868832,97,53.98,124.17,65.79,5.91
chaoyang,23,CN,1595868832,87,41.57,120.46,67.21,4.16
cherdyn,71,RU,1595868832,70,60.4,56.48,63.97,3.33
vieste,5,IT,1595868832,31,41.88,16.18,91.4,10.29
beira,75,MZ,1595868833,88,-19.84,34.84,68.0,18.34
narodychi,35,UA,1595868833,67,51.2,29.08,75.58,1.77
ancud,75,CL,1595868833,75,-41.87,-73.82,52.0,5.82
gibraltar,5,GI,1595868833,69,36.14,-5.35,82.4,9.17
majene,42,ID,1595868833,85,-3.54,118.97,78.08,13.27
klyuchevskiy,35,RU,1595868833,100,53.53,119.45,65.34,3.69
camacha,20,PT,1595868833,69,33.08,-16.33,73.4,19.46
vardo,17,NO,1595868833,77,70.37,31.11,59.0,18.34
marystown,78,CA,1595868833,83,47.17,-55.15,65.41,1.36
fallon,75,US,1595868802,22,39.47,-118.78,86.0,12.75
kudat,40,MY,1595868834,100,6.88,116.85,75.2,6.93
takoradi,67,GH,1595868834,76,4.88,-1.76,77.58,12.8
martin,20,SK,1595868834,60,49.07,18.92,75.2,3.36
dingle,75,IE,1595868834,77,52.14,-10.27,59.0,11.41
pando,66,UY,1595868834,41,-34.72,-55.95,60.8,10.29
wagar,100,SD,1595868834,65,16.15,36.2,81.55,12.93
quatre cocos,75,MU,1595868834,83,-20.21,57.76,70.0,3.36
kostivere,72,EE,1595868834,56,59.43,25.1,73.4,2.24
idah,99,NG,1595868834,87,7.11,6.73,80.22,3.49
manokwari,100,ID,1595868834,82,-0.87,134.08,79.02,9.53
twentynine palms,1,US,1595868834,15,34.14,-116.05,96.01,3.36
olpad,33,IN,1595868834,75,21.33,72.75,85.1,12.3
amahai,97,ID,1595868834,86,-3.33,128.92,77.05,8.52
oksfjord,76,NO,1595868835,46,70.24,22.35,71.6,18.34
saint-georges,75,GF,1595868835,62,3.9,-51.8,89.6,5.82
mount isa,0,AU,1595868835,48,-20.73,139.5,42.8,3.36
mackenzie,12,CA,1595868835,50,55.3,-123.17,70.84,5.03
tateyama,75,JP,1595868822,100,34.98,139.87,78.8,12.75
margherita,100,IN,1595868835,93,27.28,95.68,77.95,2.42
mahajanga,99,MG,1595868835,62,-15.72,46.32,74.23,4.85
knysna,0,ZA,1595868835,81,-34.04,23.05,53.6,8.05
trelleborg,95,SE,1595868595,63,55.38,13.16,68.0,10.29
santa rosa,0,AR,1595868582,42,-36.62,-64.28,51.64,19.08
nianzishan,78,CN,1595868835,70,47.52,122.88,71.82,5.01
iralaya,75,HN,1595868770,88,15,-83.23,80.6,6.93
selfoss,0,IS,1595868835,65,63.93,-21,59.0,15.99
tiruvallur,40,IN,1595868835,70,13.15,79.92,87.8,5.82
terney,20,RU,1595868896,89,45.05,136.61,61.23,5.1
glendive,1,US,1595868896,36,47.11,-104.71,80.01,4.7
nhulunbuy,86,AU,1595868896,64,-12.23,136.77,71.6,9.17
huarmey,88,PE,1595868896,59,-10.07,-78.15,68.36,11.05
hailar,99,CN,1595868896,61,49.2,119.7,69.08,8.43
novopavlovka,100,RU,1595868896,93,51.22,109.21,57.0,1.54
sept-iles,75,CA,1595868828,82,50.2,-66.38,68.0,12.75
shirokiy,37,RU,1595868896,92,49.76,129.52,66.16,5.39
buarcos,75,PT,1595868896,78,40.17,-8.88,77.0,17.22
ambon,97,ID,1595868896,14,-3.7,128.18,79.0,1.99
kupang,47,ID,1595868834,80,-10.17,123.58,72.82,12.17
hibbing,20,US,1595868896,56,47.43,-92.94,73.4,10.29
alappuzha,100,IN,1595868896,86,9.49,76.33,80.15,7.96
changtu,54,CN,1595868897,94,42.78,124.1,67.87,5.86
naze,20,JP,1595868897,100,28.37,129.48,80.6,3.36
uri,17,IN,1595868897,74,34.08,74.03,68.38,1.39
guilin,90,CN,1595868897,94,25.28,110.29,78.8,2.24
victor harbor,0,AU,1595868897,95,-35.57,138.62,44.01,7.94
kandrian,80,PG,1595868897,89,-6.22,149.55,76.77,4.7
la peca,37,PE,1595868897,62,-5.61,-78.44,78.3,3.58
pingzhuang,19,CN,1595868897,84,42.04,119.29,66.87,8.95
beloha,0,MG,1595868897,77,-25.17,45.05,61.77,6.91
namwala,0,ZM,1595868897,36,-15.75,26.44,63.68,7.25
